,name,label,timezone,id,lat,lon,insee,region,label_region,id_region,zip_code
16,Le Méridien,Le Méridien (Charbonnières-les-Bains),Europe/Paris,stop_area:OCE:SA:87721522,45.768833,4.748303,69044,Charbonnières-les-Bains,Charbonnières-les-Bains (69260),admin:fr:69044,69260
17,Le Merlerault-Centre,Le Merlerault-Centre (Le Merlerault),Europe/Paris,stop_area:OCE:SA:87391698,48.700273,0.283877,61275,Le Merlerault,Le Merlerault (61240),admin:fr:61275,61240
18,Le Meux-Croix-St-Ouen,Le Meux-Croix-St-Ouen (Le Meux),Europe/Paris,stop_area:OCE:SA:87276733,49.359339,2.753271,60402,Le Meux,Le Meux (60880),admin:fr:60402,60880
19,Le Molay-Littry,Le Molay-Littry (Le Molay-Littry),Europe/Paris,stop_area:OCE:SA:87444083,49.24892,-0.883239,14370,Le Molay-Littry,Le Molay-Littry (14330),admin:fr:14370,14330
20,Le Monastier,Le Monastier (Bourgs sur Colagne),Europe/Paris,stop_area:OCE:SA:87783308,44.509002,3.252196,48099,Bourgs sur Colagne,Bourgs sur Colagne (48100),admin:fr:48099,48100
21,Le Mont St Michel,Le Mont St Michel (Beauvoir),Europe/Paris,stop_area:OCE:SA:87321992,48.612065,-1.509941,50042,Beauvoir,Beauvoir (50170),admin:fr:50042,50170
22,Le Pallet,Le Pallet (Le Pallet),Europe/Paris,stop_area:OCE:SA:87481424,47.143826,-1.346852,44117,Le Pallet,Le Pallet (44330),admin:fr:44117,44330
23,Le Parc-de-St-Maur,Le Parc-de-St-Maur (Saint-Maur-des-Fossés),Europe/Paris,stop_area:OCE:SA:87758169,48.805145,2.485621,94068,Saint-Maur-des-Fossés,Saint-Maur-des-Fossés (94100-94210),admin:fr:94068,94100;94210
24,Le Péage-de-Roussillon,Le Péage-de-Roussillon (Le Péage-de-Roussillon),Europe/Paris,stop_area:OCE:SA:87722678,45.371659,4.795408,38298,Le Péage-de-Roussillon,Le Péage-de-Roussillon (38550),admin:fr:38298,38550
0,Le Pénity,Le Pénity (Duault),Europe/Paris,stop_area:OCE:SA:87473553,48.364176,-3.476685,22052,Duault,Duault (22160),admin:fr:22052,22160
1,Le Perray,Le Perray (Le Perray-en-Yvelines),Europe/Paris,stop_area:OCE:SA:87393298,48.692585,1.856335,78486,Le Perray-en-Yvelines,Le Perray-en-Yvelines (78610),admin:fr:78486,78610
2,Le Pigeon,Le Pigeon (Baladou),Europe/Paris,stop_area:OCE:SA:87594705,44.906052,1.534115,46016,Baladou,Baladou (46600),admin:fr:46016,46600
3,Le Plessis-Belleville,Le Plessis-Belleville (Le Plessis-Belleville),Europe/Paris,stop_area:OCE:SA:87271551,49.096127,2.744677,60500,Le Plessis-Belleville,Le Plessis-Belleville (60330),admin:fr:60500,60330
4,Le Plessis-Chenet,Le Plessis-Chenet (Le Coudray-Montceaux),Europe/Paris,stop_area:OCE:SA:87681627,48.573246,2.479624,91179,Le Coudray-Montceaux,Le Coudray-Montceaux (91830),admin:fr:91179,91830
5,Le Poirier Université,Le Poirier Université (Trith-Saint-Léger),Europe/Paris,stop_area:OCE:SA:87343210,50.330009,3.502555,59603,Trith-Saint-Léger,Trith-Saint-Léger (59125),admin:fr:59603,59125
6,Le Pouliguen,Le Pouliguen (Le Pouliguen),Europe/Paris,stop_area:OCE:SA:87481762,47.282524,-2.433157,44135,Le Pouliguen,Le Pouliguen (44510),admin:fr:44135,44510
7,Le Pouzin Pl Maréchal L,Le Pouzin Pl Maréchal L (Le Pouzin),Europe/Paris,stop_area:OCE:SA:87764407,44.75591,4.748131,7181,Le Pouzin,Le Pouzin (07250),admin:fr:7181,07250
8,Le Puy-en-Velay,Le Puy-en-Velay (Le Puy-en-Velay),Europe/Paris,stop_area:OCE:SA:87734699,45.042724,3.892528,43157,Le Puy-en-Velay,Le Puy-en-Velay (43000),admin:fr:43157,43000
9,Le Puy-en-Velay-Hermit.,Le Puy-en-Velay-Hermit. (Espaly-Saint-Marcel),Europe/Paris,stop_area:OCE:SA:87407973,45.05444,3.865832,43089,Espaly-Saint-Marcel,Espaly-Saint-Marcel (43000),admin:fr:43089,43000
10,Le Puy-Lafayette,Le Puy-Lafayette (Le Puy-en-Velay),Europe/Paris,stop_area:OCE:SA:87024380,45.04355,3.886866,43157,Le Puy-en-Velay,Le Puy-en-Velay (43000),admin:fr:43157,43000
11,Le Quesnoy (Nord),Le Quesnoy (Nord) (Le Quesnoy),Europe/Paris,stop_area:OCE:SA:87295857,50.250206,3.645506,59481,Le Quesnoy,Le Quesnoy (59530),admin:fr:59481,59530
12,Le Rouget,Le Rouget (Le Rouget-Pers),Europe/Paris,stop_area:OCE:SA:87645192,44.856555,2.235418,15268,Le Rouget-Pers,Le Rouget-Pers (15290),admin:fr:15268,15290
13,Le Rove Saint-Roch,Le Rove Saint-Roch,Europe/Paris,stop_area:OCE:SA:87733873,0,0,,,,,
14,Le Rove-Parking Jaures,Le Rove-Parking Jaures,Europe/Paris,stop_area:OCE:SA:87733881,0,0,,,,,
15,Le Soler,Le Soler (Le Soler),Europe/Paris,stop_area:OCE:SA:87784512,42.679556,2.800384,66195,Le Soler,Le Soler (66270),admin:fr:66195,66270
16,Le Stade,Le Stade (Colombes),Europe/Paris,stop_area:OCE:SA:87381095,48.931521,2.260735,92025,Colombes,Colombes (92700),admin:fr:92025,92700
17,Le Syndicat,Le Syndicat (Le Syndicat),Europe/Paris,stop_area:OCE:SA:87174508,48.024869,6.683771,88462,Le Syndicat,Le Syndicat (88120),admin:fr:88462,88120
18,Le Teich,Le Teich (Le Teich),Europe/Paris,stop_area:OCE:SA:87582601,44.632437,-1.025566,33527,Le Teich,Le Teich (33470),admin:fr:33527,33470
19,Le Teil,Le Teil (Le Teil),Europe/Paris,stop_area:OCE:SA:87764472,44.55257,4.685991,7319,Le Teil,Le Teil (07400),admin:fr:7319,07400
20,Le Theil-de-Bretagne,Le Theil-de-Bretagne (Le Theil-de-Bretagne),Europe/Paris,stop_area:OCE:SA:87471342,47.918713,-1.432376,35333,Le Theil-de-Bretagne,Le Theil-de-Bretagne (35240),admin:fr:35333,35240
21,Le Theil-la-Rouge,Le Theil-la-Rouge (Val-au-Perche),Europe/Paris,stop_area:OCE:SA:87396333,48.267129,0.694273,61484,Val-au-Perche,Val-au-Perche,admin:fr:61484,
22,Le Thillot Rue Verdun,Le Thillot Rue Verdun (Le Thillot),Europe/Paris,stop_area:OCE:SA:87144543,47.882071,6.760914,88468,Le Thillot,Le Thillot (88160),admin:fr:88468,88160
23,Le Thor,Le Thor (Le Thor),Europe/Paris,stop_area:OCE:SA:87765453,43.926526,4.996277,84132,Le Thor,Le Thor (84250),admin:fr:84132,84250
24,Le Toec,Le Toec (Toulouse),Europe/Paris,stop_area:OCE:SA:87353573,43.595502,1.40133,31555,Toulouse,Toulouse (31000-31500),admin:fr:31555,31000;31500
0,Le Tranger,Le Tranger (Le Tranger),Europe/Paris,stop_area:OCE:SA:87206771,46.95666,1.240265,36225,Le Tranger,Le Tranger (36700),admin:fr:36225,36700
